Gene Names,ctg53_10|[9998:18068](+)|window_202--NPDC001789,ctg53_11|[18151:18946](-)|window_202--NPDC001789,ctg53_12|[19210:19792](-)|window_202--NPDC001789,ctg53_13|[19812:20898](-)|window_202--NPDC001789,ctg53_14|[21155:23273](-)|window_202--NPDC001789,ctg53_15|[23965:25681](+)|window_202--NPDC001789,ctg53_16|[25686:27216](+)|window_202--NPDC001789,ctg53_17|[27254:28205](+)|window_202--NPDC001789,ctg53_18|[28201:29176](+)|window_202--NPDC001789,ctg53_19|[29260:30400](-)|window_202--NPDC001789,ctg53_1|[96:816](+)|window_202--NPDC001789,ctg53_20|[30453:31461](-)|window_202--NPDC001789,ctg53_21|[31470:32115](-)|window_202--NPDC001789,ctg53_22|[32161:33535](-)|window_202--NPDC001789,ctg53_23|[33764:34475](-)|window_202--NPDC001789,ctg53_24|[34503:34866](-)|window_202--NPDC001789,ctg53_25|[35054:35891](+)|window_202--NPDC001789,ctg53_26|[36018:38844](+)|window_202--NPDC001789,ctg53_27|[38923:39271](-)|window_202--NPDC001789,ctg53_28|[39445:40513](-)|window_202--NPDC001789,ctg53_29|[40545:41046](-)|window_202--NPDC001789,ctg53_2|[869:2192](-)|window_202--NPDC001789,ctg53_30|[41549:43610](-)|window_202--NPDC001789,ctg53_31|[43597:45613](-)|window_202--NPDC001789,ctg53_32|[45694:45829](-)|window_202--NPDC001789,ctg53_3|[2387:3092](+)|window_202--NPDC001789,ctg53_4|[3322:5401](+)|window_202--NPDC001789,ctg53_5|[5508:6402](-)|window_202--NPDC001789,ctg53_6|[6456:7260](+)|window_202--NPDC001789,ctg53_7|[7472:7787](+)|window_202--NPDC001789,ctg53_8|[7850:8069](+)|window_202--NPDC001789,ctg53_9|[8076:9816](-)|window_202--NPDC001789
window_296--GCA_022698305.1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
window_320--NPDC004259,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1
window_330--NPDC006439,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_359--NPDC005853,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_377--NPDC002055,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_385--GCA_014654785.1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_389--NPDC053753,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_448--NPDC007050,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_496--NPDC018347,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_502--NPDC012751,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_510--GCA_014656295.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_512--NPDC051636,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_534--NPDC031945,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_535--NPDC024387,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725,0,0,1,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_584--NPDC021736,0,0,1,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
window_601--NPDC045376,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_644--NPDC021450,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_657--NPDC053751,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
window_680--GCA_014650495.1,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_720--NPDC032246,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_734--NPDC020840,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
window_741--GCA_044326745.1,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
window_748--GCA_002556545.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
window_757--NPDC003691,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_790--NPDC053754,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_823--GCA_000590515.1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_9--GCA_036227125.1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
