Gene Names,ACH3X8_01260|[124:1366](-)|window_741--GCA_044326745.1,ACH3X8_01265|[2261:2522](+)|window_741--GCA_044326745.1,ACH3X8_01270|[3157:6190](+)|window_741--GCA_044326745.1,ACH3X8_01275|[6331:6517](+)|window_741--GCA_044326745.1,ACH3X8_01280|[6667:7813](+)|window_741--GCA_044326745.1,ACH3X8_01290|[9097:9484](+)|window_741--GCA_044326745.1,ACH3X8_01295|[9585:11460](-)|window_741--GCA_044326745.1,ACH3X8_01300|[11449:12214](-)|window_741--GCA_044326745.1,ACH3X8_01305|[12326:13061](+)|window_741--GCA_044326745.1,ACH3X8_01310|[13044:14379](+)|window_741--GCA_044326745.1,ACH3X8_01315|[14381:15185](+)|window_741--GCA_044326745.1,ACH3X8_01320|[15181:16447](+)|window_741--GCA_044326745.1,ACH3X8_01325|[16491:16887](+)|window_741--GCA_044326745.1,ACH3X8_01330|[17044:17494](-)|window_741--GCA_044326745.1,ACH3X8_01335|[17831:18974](+)|window_741--GCA_044326745.1,ACH3X8_01340|[19537:20119](-)|window_741--GCA_044326745.1,ACH3X8_01345|[20379:20640](-)|window_741--GCA_044326745.1,ACH3X8_01350|[20626:20869](+)|window_741--GCA_044326745.1,ACH3X8_01355|[20916:21552](+)|window_741--GCA_044326745.1,ACH3X8_01365|[23427:25740](+)|window_741--GCA_044326745.1,ACH3X8_01370|[25978:27325](+)|window_741--GCA_044326745.1,ACH3X8_01375|[27305:28328](+)|window_741--GCA_044326745.1,ACH3X8_01380|[28431:29634](-)|window_741--GCA_044326745.1,ACH3X8_01385|[30000:31716](+)|window_741--GCA_044326745.1,ACH3X8_01390|[31715:33242](+)|window_741--GCA_044326745.1,ACH3X8_01395|[33390:34287](+)|window_741--GCA_044326745.1,ACH3X8_01400|[34283:35258](+)|window_741--GCA_044326745.1,ACH3X8_01405|[35397:36582](+)|window_741--GCA_044326745.1,ACH3X8_01410|[36658:37303](-)|window_741--GCA_044326745.1,ACH3X8_01415|[37404:38622](-)|window_741--GCA_044326745.1,ACH3X8_01420|[38659:39928](-)|window_741--GCA_044326745.1,ACH3X8_01425|[40092:41022](-)|window_741--GCA_044326745.1,ACH3X8_01430|[41773:43159](-)|window_741--GCA_044326745.1,ACH3X8_01435|[43429:43954](-)|window_741--GCA_044326745.1,ACH3X8_01440|[43968:44985](-)|window_741--GCA_044326745.1,ACH3X8_01445|[44981:45953](-)|window_741--GCA_044326745.1,ACH3X8_01450|[45949:48646](-)|window_741--GCA_044326745.1,ACH3X8_01455|[48653:49298](-)|window_741--GCA_044326745.1,ACH3X8_01460|[49396:50179](-)|window_741--GCA_044326745.1,ACH3X8_01465|[50652:51483](-)|window_741--GCA_044326745.1,ACH3X8_01475|[51942:52875](-)|window_741--GCA_044326745.1,ACH3X8_01480|[52990:55426](-)|window_741--GCA_044326745.1,ACH3X8_01485|[55415:58583](-)|window_741--GCA_044326745.1,ACH3X8_01490|[58818:59397](+)|window_741--GCA_044326745.1,ACH3X8_01495|[59712:62727](+)|window_741--GCA_044326745.1
window_738--GCA_008704795.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
window_741--GCA_044326745.1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,1,3
window_742--NPDC057838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0
window_747--NPDC021432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_757--NPDC003691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
window_781--GCA_044326795.1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,2
window_790--NPDC053754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0
window_823--GCA_000590515.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
window_9--GCA_036227125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
